Saudi Arabia,SAU,4.849,3.482,2.488,2.542,2.605,2.64,2.655,2.656,2.913,2.864
Senegal,SEN,11.433,11.181,6.318,6.109,5.84,5.721,5.579,5.409,5.584,5.922
Serbia,SRB,10.988,13.8,14.2,14.6,14.3,14.8,14.6,14.6,16.9,20
Seychelles,SYC,7.7,6.8,7.9,7.5,7.9,7.8,8.4,8.1,6.8,9.3
Sierra Leone,SLE,21.34,19.794,11.219,10.712,10.046,9.88,9.308,9.065,9.296,9.113
Singapore,SGP,4.7,4.5,4.7,4.8,4.8,5,5,5,5.2,5.8
Sint Maarten (Dutch part),SXM,3.744,3.745,4.7,5.4,4.1,4.2,4,4.7,5.5,6.4
Slovak Republic,SVK,10.3,9.8,9.5,9.9,9.6,9.9,10,9.8,10.8,13.5
Slovenia,SVN,9.3,9.3,9.2,9.6,9.5,9.9,9.9,9.9,11.4,11
Solomon Islands,SLB,6.548,5.939,5.407,5.26,5.176,5.11,5.052,4.989,5.082,5.028
Somalia,SOM,18.009,15.778,12.81,12.447,12.275,11.891,11.444,11.041,11.39,11.596
South Africa,ZAF,8.031,10.174,9.432,9.259,8.924,8.802,8.765,8.614,9.425,11.432
South Sudan,SSD,34.067,18.587,11.493,11.072,11.01,11.01,10.584,10.531,10.759,11.05
Spain,ESP,8.6,8.9,8.5,9.1,8.8,9.1,9.1,8.8,10.4,9.5
Sri Lanka,LKA,5.923,8.101,6.979,6.98,6.896,7.029,7.037,7.072,7.056,7.36
St. Kitts and Nevis,KNA,12.211,9.249,9.612,9.763,9.372,9.443,9.83,9.91,10.036,10.181
St. Lucia,LCA,6.061,6.98,7.724,7.706,7.848,7.968,7.976,8.068,8.205,10.299
St. Martin (French part),MAF,2.748,3.63,3.862,4.257,4.345,4.747,4.176,4.661,4.788,4.911
St. Vincent and the Grenadines,VCT,5.904,7.056,7.858,8.105,8.385,8.592,8.906,10.1,11.038,13.425
Sudan,SDN,14.831,9.699,7.143,7.012,6.974,6.728,6.647,6.586,6.67,6.799
Suriname,SUR,7.567,7.801,7.646,7.215,6.941,6.672,6.753,7.06,7.036,8.667
Sweden,SWE,11.1,10.5,9.2,9.3,9.2,9.1,9.1,8.6,9.5,8.8
Switzerland,CHE,9.5,8.7,7.8,8.2,7.8,7.9,7.9,7.9,8.8,8.2
Syrian Arab Republic,SYR,4.784,4.413,8.072,7.297,6.999,6.033,5.554,5.033,4.99,5.117
Tajikistan,TJK,9.681,7.54,5.512,5.43,5.325,5.172,5.014,4.843,6.121,4.548
Tanzania,TZA,14.477,13.251,7.252,6.959,6.65,6.402,6.177,6.012,6.179,6.222
Thailand,THA,5.602,6.043,6.627,6.724,6.814,6.897,7.027,7.14,7.264,7.922
Timor-Leste,TLS,18.691,10.187,7.579,7.549,7.343,7.163,7.012,6.888,6.831,7.233
Togo,TGO,12.707,11.898,9.438,9.165,9.092,8.803,8.766,8.465,8.417,8.168
Tonga,TON,6.842,6.759,6.744,6.782,6.817,6.855,6.888,6.909,6.946,6.97
Trinidad and Tobago,TTO,6.694,6.98,6.739,6.797,7.134,7.386,7.783,7.701,7.9,9.131
Tunisia,TUN,5.5,4.773,5.715,5.811,5.883,5.974,6.04,6.145,6.752,7.884
Turkiye,TUR,6.841,5.616,5.046,5.125,5.234,5.129,5.065,5.084,6.378,6.398
Turkmenistan,TKM,8.257,6.949,6.567,6.53,6.574,6.537,6.639,6.583,6.836,6.585
Turks and Caicos Islands,TCA,6.216,4.463,6.559,6.833,7.083,7.328,7.651,8.458,8.823,9.241
Tuvalu,TUV,10.413,10.043,10.098,10.126,10.111,10.082,10.107,10.161,10.188,10.159
Uganda,UGA,18.094,15.297,6.99,6.648,6.368,6.169,5.939,5.823,5.852,5.877
Ukraine,UKR,12.1,15.4,14.7,14.9,14.7,14.5,14.8,14.7,15.9,18.5
United Arab Emirates,ARE,2.704,2.107,0.948,1.014,1.102,1.202,1.324,1.471,1.766,1.874
United Kingdom,GBR,11.2,10.3,8.8,9.2,9.1,9.2,9.2,9,10.1,9.7
United States,USA,8.6,8.5,8.237,8.44,8.493,8.638,8.678,8.7,10.3,10.4
Uruguay,URY,9.388,9.124,9.508,9.559,9.628,9.724,9.863,10.057,9.432,12.162
Uzbekistan,UZB,6.1,5.5,4.9,4.9,4.9,5,4.7,4.6,5.1,5
Vanuatu,VUT,6.635,5.512,6.048,6.001,5.921,5.829,5.739,5.663,5.487,5.395
"Venezuela, RB",VEN,4.753,4.964,5.971,5.996,6.574,6.735,6.864,7.017,7.575,8.124
Viet Nam,VNM,6.816,5.755,6.373,6.444,6.495,6.577,6.663,6.706,6.169,7.317
Virgin Islands (U.S.),VIR,4.625,6,7.1,7.3,7.5,7.7,7.9,8.2,8.4,8.6
West Bank and Gaza,PSE,6.72,4.5,3.829,3.304,3.302,3.26,3.317,3.225,3.489,3.815
"Yemen, Rep.",YEM,11.198,7.94,5.566,6.137,6.052,6.082,6.629,6.416,6.509,6.845
Zambia,ZMB,16.597,16.876,7.408,7.196,6.941,6.809,6.748,6.571,6.602,6.973
Zimbabwe,ZWE,8.747,16.801,9.123,8.774,8.441,8.266,7.972,8.043,8.132,9.057
Africa Eastern and Southern,AFE,15.60533876,13.77569809,8.47589915,8.239618841,7.973695543,7.773413042,7.588110411,7.434644049,7.620547762,8.03689904
Africa Western and Central,AFW,17.17330997,15.56200432,11.54479793,11.35247571,11.1136354,10.90901249,10.71183988,10.48874793,10.60129725,10.67895205
Arab World,ARB,8.371947226,6.325063724,5.519414541,5.451670485,5.40864974,5.253351701,5.226991814,5.198866421,5.6161084,5.750367447
Caribbean small states,CSS,7.146592469,7.087573627,6.764051782,6.9079676,7.086667113,7.206106325,7.350142606,7.485219839,7.67845113,8.940124352
Central Europe and the Baltics,CEB,11.17514335,11.00692336,11.37511582,11.8380896,11.61716306,11.97640243,12.11740032,11.98180006,13.7020455,15.39580823
Early-demographic dividend,EAR,9.701611073,7.976854756,6.614784512,6.538403848,6.489818772,6.452328992,6.447093314,6.463723087,7.155665404,8.302286528
East Asia & Pacific,EAS,6.877953825,6.65323421,7.164243821,7.153939233,7.164139661,7.203992934,7.222430756,7.253500392,7.383822612,7.818552995
East Asia & Pacific (excluding high income),EAP,6.955593451,6.641348463,7.048928063,7.023450641,7.017674654,7.044024798,7.050887784,7.070749214,7.224706364,7.654669016
East Asia & Pacific (IDA & IBRD countries),TEA,6.973728637,6.587662229,7.034745967,7.01016871,7.001375854,7.025922969,7.03018867,7.048374601,7.201770635,7.634130598
Euro area,EMU,10.02299565,9.626351833,9.504254302,10.09416287,9.869765343,10.14983668,10.16906117,10.07613073,11.15239867,11.11442837
Europe & Central Asia,ECS,10.14915129,10.69226587,9.837863998,10.11999981,9.963578322,10.00095139,10.02478288,9.902312738,11.27922955,11.85650082
