Countries,2019,2020,2021
Republic of Moldova,284.309957,306.6489349,410.1229587
Republic of Moldova,,,13.8941319
Romania,738.5690728,809.589038,963.0128609
Russian Federation,653.9998926,771.3247476,935.7337057
San Marino,3854.095527,3842.773985,4131.942069
San Marino,80.17905213,99.28961381,52.39958754
Serbia,641.1731426,670.1903563,919.1679346
Slovakia,1342.062465,1393.624513,1684.515604
Slovenia,2219.100617,2417.208632,2774.986396
Spain,2716.833236,2899.018794,3234.293069
Sweden,5652.989411,6003.093795,6900.784785
Switzerland,9341.06165,10085.45609,10897.45073
Tajikistan,61.7663307,69.69443808,73.42661088
Tajikistan,0.66842446,5.95914715,
T?rkiye,397.4091366,395.2404197,441.0622532
Turkmenistan,488.623861,483.795588,565.2592454
Ukraine,246.9131421,269.7289797,367.9831555
Ukraine,9.52687451,44.23591796,
United Kingdom of Great Britain and Northern Ireland,4268.677139,4906.239663,5738.484774
Uzbekistan,98.58741135,120.4461787,157.152896
Uzbekistan,1.41714375,1.82882237,2.2748664
Bangladesh,47.66782313,50.66413083,57.93857058
Bhutan,115.3207994,133.7031366,120.4311742
Bhutan,18.1073268,18.31550292,48.64965314
India,60.95106113,64.03266705,74.03649002
India,6.38232043,7.19895948,
Indonesia,119.4984421,133.2563582,160.6417613
Indonesia,8.53589472,,
Maldives,851.5093766,825.5689972,1038.667767
Maldives,147.8839157,139.1432354,
Myanmar,61.57227747,72.03525047,65.23147955
Myanmar,0.80032462,1.11077673,0.42594037
Nepal,52.83312818,58.31042328,65.30171596
Nepal,3.7830613,6.01723781,8.64129749
Sri Lanka,160.3137277,157.9122124,166.1812199
Thailand,289.1784501,305.0879187,364.3696635
Timor-Leste,79.26289605,120.869742,134.9980044
Australia,5545.910138,5958.765341,7055.368164
Brunei Darussalam,674.6515563,650.7735402,693.405559
Brunei Darussalam,19.41117686,,
Cambodia,114.4853371,112.2142228,122.4164564
Cambodia,0.86018994,,
China,539.619467,583.4321674,670.5145827
China,58.64203896,64.86651754,
Cook Islands,575.214109,607.3052113,736.6638093
Cook Islands,70.61773942,67.86446755,161.0004304
Fiji,253.7433097,231.9827681,250.0255421
Japan,4463.277157,4436.240827,4347.339053
Kiribati,177.4712383,238.0097833,261.5286135
Kiribati,0.5035768,80.59327864,13.17321945
Lao People's Democratic Republic,67.81835924,52.15843474,68.87697964
Lao People's Democratic Republic,3.11765545,3.80271436,2.94420418
Malaysia,427.4628636,414.9634923,487.0088368
Malaysia,19.45514434,,
Marshall Islands,782.2356625,707.5192479,766.9441141
Marshall Islands,5.60027946,9.23537609,26.15933413
Micronesia (Federated States of),420.5794951,398.5736912,393.349303
Micronesia (Federated States of),1.16398766,0.53520536,1.06071722
Mongolia,197.5520632,188.5712416,315.5797896
Mongolia,9.74285646,11.67019258,18.47399349
Nauru,1159.385823,1318.904172,1529.519158
Nauru,56.85011436,72.24295063,148.2802951
New Zealand,4063.069023,4223.217123,4906.07084
Niue,1156.833682,1319.095161,1911.766573
Niue,0,0,
Palau,2102.074774,2058.661752,2045.297381
Palau,111.0708007,,
Papua New Guinea,60.31322644,56.3073905,61.41453081
Papua New Guinea,6.59507534,7.20085295,8.2580201
Philippines,142.2366599,166.4492483,203.1768036
Philippines,14.76049776,15.90367427,14.05328549
Republic of Korea,2605.993265,2648.224017,3260.448864
Samoa,240.1010586,252.8403468,263.8859487
Samoa,0.62638299,6.55134824,
Singapore,2826.010023,3367.756448,3969.890893
Singapore,175.4271695,116.3832661,134.0563902
Solomon Islands,103.7242853,106.6113816,106.3458716
Solomon Islands,7.80058631,2.9914781,4.65507721
Tonga,229.9441227,246.8402783,279.2460142
Tonga,7.88456449,7.39888286,10.18831371
Tuvalu,1109.266429,879.4911412,1070.957616
Tuvalu,0,380.4751101,4.9817725
Vanuatu,101.9744109,116.5592632,133.1509221
Vanuatu,4.398953,8.36533155,1.71770702
Viet Nam,173.6494935,154.2351034,172.5529812
Viet Nam,,10.90576803,7.98660623
